startTime 01:12:39.742	endTime 01:12:41.790
startTime 01:12:43.793	endTime 01:12:45.798
startTime 01:12:49.805	endTime 01:12:51.808
startTime 01:12:55.819	endTime 01:12:57.821
startTime 01:13:01.824	endTime 01:13:03.824
startTime 01:13:07.834	endTime 01:13:09.839
startTime 01:13:13.849	endTime 01:13:15.855
startTime 01:13:19.861	endTime 01:13:21.862
startTime 01:13:25.867	endTime 01:13:27.871
startTime 01:13:31.878	endTime 01:13:33.882
