startTime 01:22:52.410	endTime 01:22:54.460
startTime 01:22:58.597	endTime 01:23:00.601
startTime 01:23:04.611	endTime 01:23:06.614
startTime 01:23:10.626	endTime 01:23:12.631
startTime 01:23:16.637	endTime 01:23:18.641
startTime 01:23:22.650	endTime 01:23:24.655
startTime 01:23:28.663	endTime 01:23:30.665
startTime 01:23:34.676	endTime 01:23:36.682
startTime 01:23:40.692	endTime 01:23:42.696
startTime 01:23:46.704	endTime 01:23:48.708
