startTime 01:22:56.546	endTime 01:22:58.597
startTime 01:23:02.605	endTime 01:23:04.611
startTime 01:23:08.619	endTime 01:23:10.625
startTime 01:23:14.633	endTime 01:23:16.636
startTime 01:23:20.647	endTime 01:23:22.650
startTime 01:23:26.660	endTime 01:23:28.663
startTime 01:23:32.672	endTime 01:23:34.676
startTime 01:23:38.687	endTime 01:23:40.691
startTime 01:23:44.698	endTime 01:23:46.703
startTime 01:23:50.711	endTime 01:23:52.716
