startTime 01:22:54.473	endTime 01:22:56.530
startTime 01:23:00.602	endTime 01:23:02.604
startTime 01:23:06.614	endTime 01:23:08.619
startTime 01:23:12.632	endTime 01:23:14.632
startTime 01:23:18.642	endTime 01:23:20.646
startTime 01:23:24.655	endTime 01:23:26.660
startTime 01:23:30.666	endTime 01:23:32.671
startTime 01:23:36.683	endTime 01:23:38.686
startTime 01:23:42.697	endTime 01:23:44.697
startTime 01:23:48.708	endTime 01:23:50.711
